Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
570,Rajon Rondo\rondora01,PG,32,LAL,46,29,1369,4.6,11.4,.405,1.3,3.7,.359,3.3,7.6,.428,0.6,0.9,.639,0.9,5.5,6.4,9.7,1.5,0.2,3.3,2.6,11.1
571,Derrick Rose\rosede01,PG,30,MIN,51,13,1392,9.4,19.5,.482,1.4,3.8,.370,8.0,15.7,.509,3.5,4.1,.856,0.9,2.8,3.6,5.7,0.8,0.3,2.1,1.5,23.7
572,Terrence Ross\rosste01,SG,27,ORL,81,0,2150,7.4,17.2,.428,3.6,9.5,.383,3.7,7.7,.484,2.1,2.4,.875,0.5,4.2,4.7,2.3,1.2,0.5,1.5,2.0,20.5
573,Terry Rozier\roziete01,PG,24,BOS,79,14,1791,5.2,13.4,.387,2.4,6.8,.353,2.8,6.6,.422,1.5,1.9,.785,0.6,5.5,6.2,4.6,1.4,0.4,1.4,2.0,14.2
574,Ricky Rubio\rubiori01,PG,28,UTA,68,67,1899,5.6,13.8,.404,1.5,4.8,.311,4.1,9.0,.454,3.7,4.3,.855,0.6,4.0,4.6,7.9,1.7,0.2,3.4,3.4,16.4
575,D'Angelo Russell\russeda01,PG,22,BRK,81,81,2448,9.7,22.3,.434,3.4,9.3,.369,6.2,13.0,.482,2.4,3.0,.780,0.8,3.9,4.6,8.3,1.5,0.3,3.7,2.1,25.2
576,Domantas Sabonis\sabondo01,C,22,IND,74,5,1838,8.1,13.7,.590,0.2,0.3,.529,7.9,13.4,.592,4.1,5.7,.715,3.6,9.9,13.5,4.2,0.9,0.6,3.1,4.7,20.4
577,Brandon Sampson\sampsbr01,SG,21,CHI,14,2,214,4.7,10.1,.467,1.9,4.9,.379,2.9,5.2,.548,0.7,1.0,.667,0.5,2.2,2.7,1.7,1.3,0.5,2.0,3.2,11.9
578,JaKarr Sampson\sampsja02,SF,25,CHI,4,0,127,8.2,15.3,.537,1.4,4.0,.357,6.8,11.3,.600,4.8,6.0,.810,1.4,7.7,9.1,1.1,1.1,0.9,1.1,2.3,22.7
579,Dario Šarić\saricda01,PF,24,TOT,81,41,2023,5.4,12.4,.437,2.1,5.7,.365,3.3,6.6,.499,2.3,2.7,.880,2.2,5.9,8.1,2.3,0.8,0.2,1.7,3.2,15.3
580,Dario Šarić\saricda01,PF,24,PHI,13,13,396,4.4,12.0,.364,1.9,6.4,.300,2.5,5.6,.435,2.5,2.7,.900,1.9,5.9,7.8,2.4,0.4,0.3,2.3,3.5,13.1
581,Dario Šarić\saricda01,PF,24,MIN,68,28,1627,5.7,12.5,.454,2.1,5.6,.383,3.5,6.9,.511,2.3,2.7,.875,2.3,5.9,8.2,2.2,0.9,0.1,1.6,3.2,15.8
582,Tomáš Satoranský\satorto01,PG,27,WAS,80,54,2164,4.3,8.8,.485,1.1,2.7,.395,3.2,6.1,.524,2.2,2.7,.819,1.4,3.3,4.6,6.6,1.4,0.2,2.0,2.9,11.8
583,Dennis Schröder\schrode01,PG,25,OKC,79,14,2314,7.1,17.2,.414,1.9,5.7,.341,5.2,11.5,.450,2.9,3.5,.819,0.6,3.8,4.4,5.0,1.0,0.2,2.7,2.9,19.0
584,Mike Scott\scottmi01,PF,30,TOT,79,3,1395,4.3,10.8,.400,2.6,6.5,.401,1.7,4.3,.399,0.6,0.9,.667,1.1,6.0,7.1,1.7,0.7,0.3,1.1,4.0,11.8
585,Mike Scott\scottmi01,PF,30,LAC,52,0,748,4.4,11.1,.400,2.5,6.4,.391,1.9,4.7,.412,0.6,0.9,.667,1.2,7.2,8.4,2.1,0.8,0.4,1.3,4.2,11.9
586,Mike Scott\scottmi01,PF,30,PHI,27,3,647,4.2,10.6,.400,2.7,6.6,.412,1.5,4.0,.380,0.6,0.8,.667,1.1,4.6,5.7,1.2,0.5,0.3,0.9,3.8,11.7
587,Thabo Sefolosha\sefolth01,SF,34,UTA,50,2,609,4.2,8.8,.477,2.0,4.6,.436,2.2,4.2,.521,0.8,1.3,.636,0.5,6.8,7.3,1.6,2.5,0.3,1.5,2.4,11.2
588,Wayne Selden\seldewa01,SG,24,TOT,75,13,1439,4.9,12.1,.406,1.4,4.4,.316,3.5,7.7,.456,1.7,2.3,.728,0.9,3.6,4.5,2.7,0.8,0.3,2.0,3.3,12.9
589,Wayne Selden\seldewa01,SG,24,MEM,32,0,455,5.1,12.7,.404,1.6,5.0,.317,3.6,7.8,.459,1.7,2.3,.759,1.3,2.2,3.5,2.8,0.8,0.5,1.8,3.8,13.6
590,Wayne Selden\seldewa01,SG,24,CHI,43,13,984,4.8,11.8,.407,1.3,4.1,.315,3.5,7.7,.455,1.6,2.3,.714,0.8,4.2,5.0,2.7,0.8,0.3,2.0,3.0,12.5
591,Collin Sexton\sextoco01,PG,20,CLE,82,72,2605,7.2,16.7,.430,1.6,4.1,.402,5.5,12.6,.440,3.0,3.5,.839,0.8,2.5,3.3,3.4,0.6,0.1,2.6,2.6,18.9
592,Landry Shamet\shamela01,SG,21,TOT,79,27,1802,4.8,11.1,.431,3.3,7.9,.422,1.5,3.2,.453,1.5,1.9,.806,0.4,2.3,2.7,2.3,0.7,0.2,0.9,3.1,14.4
593,Landry Shamet\shamela01,SG,21,PHI,54,4,1108,5.0,11.3,.441,3.2,8.0,.404,1.8,3.3,.529,1.4,1.8,.815,0.5,2.1,2.5,1.9,0.8,0.3,0.8,3.4,14.6
594,Landry Shamet\shamela01,SG,21,LAC,25,23,694,4.5,10.9,.414,3.5,7.8,.450,1.0,3.1,.322,1.6,2.0,.795,0.4,2.5,2.9,3.0,0.7,0.1,1.0,2.5,14.2
595,Iman Shumpert\shumpim01,SG,28,TOT,62,41,1481,4.1,10.8,.374,2.3,6.6,.348,1.8,4.2,.416,0.9,1.1,.800,0.7,3.8,4.4,2.7,1.4,0.6,1.2,3.1,11.3
