Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
642,Isaiah Thomas\thomais02,SG,29,DEN,12,0,181,6.8,19.7,.343,2.4,8.6,.279,4.4,11.1,.393,3.4,5.4,.630,1.0,1.6,2.6,4.6,1.0,0.2,3.6,3.4,19.3
643,Khyri Thomas\thomakh01,SG,22,DET,26,0,195,4.1,12.7,.319,1.8,6.5,.286,2.2,6.3,.353,1.3,2.0,.636,0.7,3.0,3.7,1.5,1.3,0.9,0.7,4.1,11.3
644,Lance Thomas\thomala01,PF,30,NYK,46,17,783,3.6,9.1,.396,1.0,3.6,.278,2.6,5.4,.475,1.2,1.7,.750,1.0,4.4,5.4,1.2,0.8,0.3,1.1,3.8,9.4
645,Klay Thompson\thompkl01,SG,28,GSW,78,78,2652,8.9,19.0,.467,3.3,8.1,.402,5.6,10.9,.516,1.8,2.1,.816,0.5,3.6,4.1,2.5,1.1,0.6,1.6,2.1,22.8
646,Tristan Thompson\thomptr01,C,27,CLE,43,40,1198,6.0,11.4,.529,0.0,0.0,,6.0,11.4,.529,2.0,3.2,.642,5.2,8.0,13.2,2.6,0.8,0.5,1.8,2.7,14.1
647,Sindarius Thornwell\thornsi01,SG,24,LAC,64,1,313,2.0,5.6,.347,0.3,1.7,.200,1.6,3.9,.412,2.9,3.9,.735,0.6,4.5,5.1,2.1,1.6,0.8,2.3,4.7,7.1
648,Anthony Tolliver\tollian01,PF,33,MIN,65,0,1079,3.3,8.6,.382,2.7,7.2,.377,0.6,1.5,.409,1.6,2.0,.783,0.5,5.4,5.9,1.5,0.6,0.7,1.2,3.0,10.9
649,Karl-Anthony Towns\townska01,C,23,MIN,77,77,2545,9.6,18.6,.518,2.0,5.0,.400,7.6,13.6,.562,5.3,6.4,.836,3.7,9.8,13.5,3.7,0.9,1.8,3.4,4.1,26.6
650,Gary Trent Jr.\trentga02,SG,20,POR,15,1,111,5.2,16.2,.320,1.6,6.8,.238,3.6,9.4,.379,1.0,2.3,.429,0.3,3.2,3.6,1.6,0.3,0.6,1.3,1.3,13.0
651,Allonzo Trier\trieral01,SG,23,NYK,64,3,1459,5.7,12.8,.448,1.3,3.3,.394,4.4,9.5,.466,4.4,5.5,.803,0.8,4.1,4.9,2.9,0.7,0.3,2.9,2.9,17.1
652,P.J. Tucker\tuckepj01,PF,33,HOU,82,82,2802,2.7,6.7,.396,1.9,5.0,.377,0.8,1.7,.449,0.5,0.8,.695,1.6,4.6,6.2,1.2,1.7,0.5,0.8,3.2,7.7
653,Evan Turner\turneev01,PG,30,POR,73,2,1605,4.6,9.9,.460,0.2,1.2,.212,4.3,8.8,.494,1.7,2.4,.708,0.8,6.5,7.4,6.3,0.7,0.4,2.6,2.5,11.1
654,Myles Turner\turnemy01,C,22,IND,74,74,2119,6.5,13.3,.487,1.3,3.3,.388,5.2,9.9,.521,2.5,3.4,.736,1.7,7.3,9.0,2.0,1.0,3.4,1.7,3.3,16.7
655,Ekpe Udoh\udohek01,C,31,UTA,51,1,320,5.6,8.1,.694,0.0,0.0,,5.6,8.1,.694,2.1,3.4,.633,3.0,7.1,10.1,3.2,1.1,3.5,1.5,4.1,13.4
656,Tyler Ulis\ulisty01,PG,23,CHI,1,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
657,Jonas Valančiūnas\valanjo01,C,26,TOT,49,27,1091,9.9,17.8,.559,0.5,1.6,.292,9.5,16.2,.586,4.9,6.1,.795,3.5,10.3,13.8,2.3,0.6,1.7,3.0,4.8,25.2
658,Jonas Valančiūnas\valanjo01,C,26,TOR,30,10,564,9.5,16.5,.575,0.6,1.9,.300,8.9,14.6,.611,4.9,6.0,.819,3.4,10.3,13.8,1.9,0.8,1.5,2.5,5.2,24.5
659,Jonas Valančiūnas\valanjo01,C,26,MEM,19,17,527,10.4,19.1,.545,0.3,1.2,.278,10.0,17.8,.563,4.8,6.2,.769,3.6,10.3,13.9,2.8,0.4,2.0,3.5,4.4,25.9
660,Jarred Vanderbilt\vandeja01,PF,19,DEN,17,0,69,4.7,9.9,.474,0.0,0.5,.000,4.7,9.4,.500,3.1,5.2,.600,3.7,8.3,12.0,1.6,3.1,0.5,4.2,4.2,12.5
661,Fred VanVleet\vanvlfr01,PG,24,TOR,64,28,1760,5.0,12.3,.410,2.3,6.1,.378,2.7,6.2,.441,2.0,2.4,.843,0.4,3.0,3.4,6.3,1.2,0.4,1.7,2.3,14.3
662,Noah Vonleh\vonleno01,PF,23,NYK,68,57,1722,4.3,9.2,.470,1.0,2.9,.336,3.4,6.3,.531,2.3,3.3,.712,2.4,8.7,11.0,2.7,1.0,1.1,1.8,3.6,11.9
663,Nikola Vučević\vucevni01,C,28,ORL,80,80,2510,10.1,19.4,.518,1.2,3.3,.364,8.8,16.1,.549,2.6,3.3,.789,3.2,10.6,13.8,4.4,1.2,1.3,2.3,2.3,23.9
664,Dwyane Wade\wadedw01,SG,37,MIA,72,2,1885,7.9,18.3,.433,1.6,5.0,.330,6.3,13.3,.472,3.2,4.4,.708,1.3,4.1,5.4,5.7,1.1,0.7,3.2,2.3,20.7
665,Moritz Wagner\wagnemo01,C,21,LAL,43,5,446,5.7,13.8,.415,1.8,6.2,.286,4.0,7.6,.521,3.5,4.3,.811,1.4,5.5,6.9,1.9,0.9,1.0,3.1,4.6,16.7
666,Dion Waiters\waitedi01,SG,27,MIA,44,28,1138,6.3,15.1,.414,3.4,9.1,.377,2.8,6.0,.471,0.7,1.4,.500,0.2,3.4,3.7,3.8,0.9,0.3,2.0,2.3,16.7
667,Kemba Walker\walkeke02,PG,28,CHO,82,82,2863,9.2,21.2,.434,3.3,9.2,.356,5.9,12.0,.494,4.8,5.7,.844,0.7,3.9,4.5,6.1,1.3,0.4,2.7,1.6,26.4
668,Lonnie Walker\walkelo01,SG,20,SAS,17,0,118,4.9,14.0,.348,1.5,4.0,.385,3.4,10.1,.333,2.4,3.1,.800,0.0,5.2,5.2,2.7,2.1,0.9,1.2,2.1,13.7
669,John Wall\walljo01,PG,28,WAS,32,32,1104,8.0,18.0,.444,1.7,5.5,.302,6.3,12.5,.507,4.0,5.7,.697,0.5,3.3,3.8,9.1,1.6,0.9,3.9,2.3,21.6
670,Tyrone Wallace\wallaty01,PG,24,LAC,62,0,628,5.3,12.4,.424,0.2,1.1,.211,5.0,11.4,.444,1.7,3.3,.526,1.1,4.6,5.8,2.4,1.2,0.4,2.1,4.8,12.5
671,Brad Wanamaker\wanambr01,PG,29,BOS,36,0,343,5.2,11.0,.476,1.7,4.1,.410,3.6,6.9,.515,2.5,2.9,.857,0.3,4.0,4.3,5.9,1.3,0.2,2.0,3.6,14.7
672,T.J. Warren\warretj01,SF,25,PHO,43,36,1360,7.9,16.2,.486,2.0,4.8,.428,5.8,11.4,.510,2.7,3.3,.815,0.8,3.8,4.6,1.7,1.4,0.8,1.4,3.2,20.4
673,Julian Washburn\washbju01,SF,27,MEM,18,3,254,2.3,6.8,.333,0.7,3.4,.208,1.6,3.4,.458,0.4,0.6,.750,1.1,4.7,5.8,2.0,1.8,0.3,1.0,2.3,5.7
674,Yuta Watanabe\watanyu01,SF,24,MEM,15,0,174,3.1,10.6,.294,0.4,3.3,.125,2.7,7.2,.371,1.4,2.1,.700,0.8,5.6,6.4,1.7,0.8,0.2,1.2,2.3,8.1
675,Thomas Welsh\welshth01,C,22,DEN,11,0,36,7.0,13.0,.538,3.0,7.0,.429,4.0,6.0,.667,1.0,2.0,.500,0.0,4.0,4.0,5.0,0.0,0.0,1.0,3.0,18.0
676,Russell Westbrook\westbru01,PG,30,OKC,73,73,2630,8.6,20.2,.428,1.6,5.6,.290,7.0,14.5,.481,4.1,6.2,.656,1.5,9.6,11.0,10.7,1.9,0.5,4.4,3.4,22.9
677,Derrick White\whitede01,PG,24,SAS,67,55,1728,5.4,11.3,.479,1.0,3.0,.338,4.4,8.4,.529,2.0,2.6,.772,0.7,4.4,5.1,5.5,1.4,1.0,2.0,3.0,13.8
678,Okaro White\whiteok01,PF,26,WAS,3,0,6,0.0,12.0,.000,0.0,12.0,.000,0.0,0.0,,0.0,0.0,,6.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
679,Hassan Whiteside\whiteha01,C,29,MIA,72,53,1674,8.3,14.6,.571,0.0,0.3,.125,8.3,14.3,.581,2.3,5.2,.449,5.5,12.0,17.6,1.2,1.0,2.9,2.1,4.1,19.1
680,Andrew Wiggins\wiggian01,SF,23,MIN,73,73,2543,7.0,17.1,.412,1.7,4.9,.339,5.4,12.2,.441,2.9,4.2,.699,1.2,3.8,5.0,2.6,1.0,0.7,2.0,2.2,18.7
681,Alan Williams\willial03,PF,26,BRK,5,0,26,11.1,18.0,.615,0.0,1.4,.000,11.1,16.6,.667,2.8,5.5,.500,5.5,20.8,26.3,4.2,1.4,0.0,1.4,2.8,24.9
682,C.J. Williams\willicj01,SG,28,MIN,15,0,128,4.8,9.8,.486,1.4,4.5,.313,3.4,5.3,.632,0.0,0.3,.000,0.3,2.0,2.3,3.4,1.7,0.0,1.4,4.5,11.0
683,Johnathan Williams\willijo04,C,23,LAL,24,0,372,6.3,10.6,.591,0.0,0.2,.000,6.3,10.5,.602,2.6,4.6,.563,4.6,4.9,9.6,1.3,0.8,0.7,1.5,6.0,15.2
684,Kenrich Williams\willike04,SF,24,NOP,46,29,1079,3.6,9.3,.384,1.7,5.2,.333,1.8,4.1,.447,0.4,0.6,.684,1.8,5.5,7.3,2.8,1.5,0.6,1.2,3.2,9.3
685,Lou Williams\willilo02,SG,32,LAC,75,1,1993,8.7,20.6,.425,1.9,5.3,.361,6.8,15.3,.447,7.7,8.8,.876,0.7,3.3,4.0,7.3,1.0,0.2,3.3,1.4,27.1
686,Marvin Williams\willima02,PF,32,CHO,75,75,2133,4.6,11.0,.422,2.4,6.4,.366,2.3,4.6,.500,1.1,1.5,.767,1.3,5.6,6.9,1.6,1.2,1.0,0.8,2.6,12.8
687,Robert Williams\williro04,C,21,BOS,32,2,283,4.6,6.5,.706,0.0,0.0,,4.6,6.5,.706,1.1,1.9,.600,3.4,6.9,10.3,0.9,1.1,5.1,1.3,4.6,10.3
688,Troy Williams\willitr02,SF,24,SAC,21,0,312,5.1,11.3,.449,1.6,5.1,.318,3.5,6.2,.556,1.0,1.7,.600,1.4,5.4,6.8,1.3,1.2,0.9,1.0,4.3,12.8
689,D.J. Wilson\wilsodj01,PF,22,MIL,48,3,882,4.2,10.2,.414,1.9,5.2,.362,2.4,5.1,.468,1.1,1.9,.553,1.8,7.2,9.1,2.1,0.7,0.8,1.3,3.5,11.4
690,Justise Winslow\winslju01,SF,22,MIA,66,52,1959,6.0,13.8,.433,1.8,4.7,.375,4.2,9.1,.462,1.6,2.5,.628,1.2,5.4,6.5,5.2,1.3,0.3,2.6,3.3,15.3
691,Christian Wood\woodch01,PF,23,TOT,21,2,251,8.7,16.8,.521,1.3,3.7,.346,7.5,13.1,.571,5.9,8.0,.732,2.4,9.5,11.9,1.1,1.0,1.4,2.4,2.4,24.7
692,Christian Wood\woodch01,PF,23,MIL,13,0,62,7.0,14.5,.480,1.7,2.9,.600,5.2,11.6,.450,5.8,8.7,.667,2.3,9.3,11.6,1.2,0.0,0.0,1.7,1.7,21.5
693,Christian Wood\woodch01,PF,23,NOP,8,2,189,9.3,17.5,.533,1.1,4.0,.286,8.2,13.5,.606,5.9,7.8,.756,2.5,9.5,12.0,1.1,1.3,1.9,2.7,2.7,25.7
694,Delon Wright\wrighde01,PG,26,TOT,75,13,1699,5.1,11.8,.434,1.1,3.6,.298,4.1,8.3,.492,2.5,3.2,.793,1.4,4.2,5.6,5.3,1.9,0.6,1.6,2.2,13.8
695,Delon Wright\wrighde01,PG,26,TOR,49,2,897,5.1,11.8,.433,1.2,3.6,.333,3.9,8.1,.478,2.1,2.4,.869,1.6,3.5,5.0,4.4,1.8,0.6,1.5,2.1,13.5
696,Delon Wright\wrighde01,PG,26,MEM,26,11,802,5.2,11.9,.434,0.9,3.5,.256,4.3,8.4,.508,3.0,4.0,.742,1.3,5.0,6.3,6.2,1.9,0.7,1.8,2.2,14.2
697,Guerschon Yabusele\yabusgu01,PF,23,BOS,41,1,251,5.0,11.0,.455,1.3,4.0,.321,3.7,7.0,.531,2.2,3.2,.682,3.3,4.3,7.6,2.2,1.1,1.0,2.2,4.6,13.5
698,Nick Young\youngni01,SG,33,DEN,4,0,37,2.9,8.8,.333,2.9,7.8,.375,0.0,1.0,.000,0.0,0.0,,0.0,1.0,1.0,1.9,0.0,1.0,1.9,3.9,8.8
699,Thaddeus Young\youngth01,PF,30,IND,81,81,2489,6.4,12.2,.527,0.7,2.1,.349,5.7,10.1,.564,1.3,2.0,.644,2.8,4.8,7.6,3.0,1.8,0.5,1.8,2.8,14.8
700,Trae Young\youngtr01,PG,20,ATL,81,81,2503,7.6,18.1,.418,2.2,6.9,.324,5.3,11.1,.477,4.9,6.0,.829,0.9,3.4,4.3,9.4,1.0,0.2,4.4,2.0,22.3
701,Cody Zeller\zelleco01,C,26,CHO,49,47,1243,5.5,10.0,.551,0.2,0.6,.273,5.3,9.4,.570,3.2,4.1,.787,3.2,6.5,9.6,3.0,1.1,1.2,1.8,4.7,14.4
702,Tyler Zeller\zellety01,C,29,TOT,6,1,93,6.2,11.6,.533,0.0,0.4,.000,6.2,11.2,.552,5.4,7.0,.778,4.3,5.0,9.3,1.5,0.4,1.2,1.5,7.7,17.8
703,Tyler Zeller\zellety01,C,29,ATL,2,0,11,0.0,6.5,.000,0.0,3.3,.000,0.0,3.3,.000,0.0,0.0,,6.5,13.1,19.6,3.3,0.0,0.0,0.0,13.1,0.0
704,Tyler Zeller\zellety01,C,29,MEM,4,1,82,7.0,12.3,.571,0.0,0.0,,7.0,12.3,.571,6.1,7.9,.778,4.0,4.0,7.9,1.3,0.4,1.3,1.8,7.0,20.2
705,Ante Žižić\zizican01,C,22,CLE,59,25,1082,6.1,11.0,.553,0.0,0.0,,6.1,11.0,.553,3.1,4.4,.705,3.6,7.1,10.6,1.8,0.4,0.7,2.0,3.8,15.3
706,Ivica Zubac\zubaciv01,C,21,TOT,59,37,1040,7.3,13.1,.559,0.0,0.0,,7.3,13.1,.559,3.5,4.4,.802,4.0,8.6,12.5,2.2,0.5,1.8,2.4,4.7,18.2
707,Ivica Zubac\zubaciv01,C,21,LAL,33,12,516,7.8,13.5,.580,0.0,0.0,,7.8,13.5,.580,4.0,4.6,.864,3.8,7.5,11.3,1.7,0.3,1.9,2.3,5.1,19.6
708,Ivica Zubac\zubaciv01,C,21,LAC,26,25,524,6.9,12.8,.538,0.0,0.0,,6.9,12.8,.538,3.0,4.1,.733,4.2,9.5,13.7,2.6,0.7,1.6,2.5,4.4,16.8
